u,v,key,osmid,highway,maxspeed,name,oneway,ref,reversed,length,geometry,lanes,access,bridge,junction,tunnel,area,width,service
2234141486,2234141571,0,213770806,unclassified,,,False,,False,81.7772694377532,"LINESTRING (78.5136101 17.4395636, 78.5135519 17.4395694, 78.5134605 17.4395954, 78.5133477 17.439653, 78.5131687 17.4397773, 78.5130189 17.4399889)",,permit,,,,,,
662741301,662741304,0,51969260,residential,,,False,,False,114.95113020965526,"LINESTRING (78.5473909 17.4858888, 78.5477638 17.4857309, 78.5480802 17.4856746, 78.5484316 17.4857155)",,,,,,,,
3602309467,7663215807,0,199252295,residential,,,False,,False,12.262070414277495,"LINESTRING (78.3515958 17.4648289, 78.3515464 17.4649286)",,,,,,,,
7693869401,3618934466,0,281253628,residential,,,False,,False,27.905391868666808,"LINESTRING (78.5176558 17.5331071, 78.5176501 17.533358)",,,,,,,,
1595389577,1595389377,0,1203407862,residential,,,False,,False,36.75710289085266,"LINESTRING (78.5807278 17.3705954, 78.5806189 17.3702816)",,,,,,,,
4170916385,3602311055,0,354535245,residential,,,False,,True,140.45949287948326,"LINESTRING (78.4297017 17.4744929, 78.429615 17.474331, 78.4294773 17.4742045, 78.4294006 17.4741739, 78.4293457 17.4741894, 78.4292781 17.4742217, 78.4292414 17.4742348, 78.4292132 17.474239, 78.4291917 17.4742077, 78.4291257 17.4739587, 78.4289942 17.473649)",,,,,,,,
2231949153,2231949150,0,213514848,residential,,,False,,False,91.3027630388561,"LINESTRING (78.3726367 17.4831648, 78.3734663 17.4829455)",,,,,,,,
3602491600,3602491579,0,354565450,residential,,,False,,False,20.82902770250599,"LINESTRING (78.4421061 17.3032419, 78.44194 17.3031422)",,,,,,,,
7686553639,2783189726,0,354033749,residential,,,False,,True,73.70684994566338,"LINESTRING (78.5064059 17.5198777, 78.5064193 17.5200194, 78.5064704 17.5205377)",,,,,,,,
2249584987,2245995234,0,215187199,residential,,,False,,True,42.78093705664393,"LINESTRING (78.54686 17.344765, 78.5464742 17.3448764)",,,,,,,,
3598392769,1594752620,0,354059990,residential,,,False,,True,27.15051799141248,"LINESTRING (78.5615156 17.3804658, 78.5612672 17.3804073)",,,,,,,,
3059812698,3059812703,0,355703862,residential,,,False,,True,34.5964895288414,"LINESTRING (78.4554907 17.3286513, 78.4555361 17.3289594)",,,,,,,,
